"REF_DATE","GEO","DGUID","Life insurance sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-01","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","87.07","","","","2"
"1946-01","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.49","","","","2"
"1946-01","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.22","","","","2"
"1946-01","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.34","","","","2"
"1946-01","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","23.43","","","","2"
"1946-01","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","38.20","","","","2"
"1946-01","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.49","","","","2"
"1946-01","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.49","","","","2"
"1946-01","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","4.92","","","","2"
"1946-01","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","5.49","","","","2"
"1946-02","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","93.07","","","","2"
"1946-02","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.34","","","","2"
"1946-02","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","2.97","","","","2"
"1946-02","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.65","","","","2"
"1946-02","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","25.23","","","","2"
"1946-02","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","42.04","","","","2"
"1946-02","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","5.24","","","","2"
"1946-02","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","2.86","","","","2"
"1946-02","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","4.86","","","","2"
"1946-02","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","6.88","","","","2"
"1946-03","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","108.36","","","","2"
"1946-03","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.43","","","","2"
"1946-03","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","3.74","","","","2"
"1946-03","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.90","","","","2"
"1946-03","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","29.18","","","","2"
"1946-03","Ontario","2016A000235","Total, life insurance sales","Dollars","81","millions","6","v3834","7.1","49.02","","","","2"
"1946-03","Manitoba","2016A000246","Total, life insurance sales","Dollars","81","millions","6","v3835","8.1","6.12","","","","2"
"1946-03","Saskatchewan","2016A000247","Total, life insurance sales","Dollars","81","millions","6","v3836","9.1","3.40","","","","2"
"1946-03","Alberta","2016A000248","Total, life insurance sales","Dollars","81","millions","6","v3837","10.1","5.88","","","","2"
"1946-03","British Columbia","2016A000259","Total, life insurance sales","Dollars","81","millions","6","v3829","11.1","7.69","","","","2"
"1946-04","Canada","2016A000011124","Total, life insurance sales","Dollars","81","millions","6","v3827","1.1","110.65","","","","2"
"1946-04","Prince Edward Island","2016A000211","Total, life insurance sales","Dollars","81","millions","6","v3830","3.1","0.37","","","","2"
"1946-04","Nova Scotia","2016A000212","Total, life insurance sales","Dollars","81","millions","6","v3831","4.1","4.07","","","","2"
"1946-04","New Brunswick","2016A000213","Total, life insurance sales","Dollars","81","millions","6","v3832","5.1","2.73","","","","2"
"1946-04","Quebec","2016A000224","Total, life insurance sales","Dollars","81","millions","6","v3833","6.1","29.87","","","","2"
